date,year,month,week,avg_temperature,avg_pressure,rain,snow,storm
2017-01-01,2017,01,52,2.0,736.5,1.0,0.0,0.0
2017-01-02,2017,01,1,0.5,732.5,0.0,0.0,0.0
2017-01-03,2017,01,1,-8.0,736.0,0.0,1.0,0.0
2017-01-04,2017,01,1,-9.5,735.0,0.0,1.0,0.0
2017-01-05,2017,01,1,-15.0,741.5,0.0,0.0,0.0
2017-01-06,2017,01,1,-26.5,757.5,0.0,0.0,0.0
2017-01-07,2017,01,1,-25.5,756.0,0.0,1.0,0.0
2017-01-08,2017,01,1,-23.0,757.0,0.0,0.0,0.0
2017-01-09,2017,01,2,-16.5,754.5,0.0,0.0,0.0
2017-01-10,2017,01,2,-7.5,752.5,0.0,1.0,0.0
2017-01-11,2017,01,2,-11.0,752.5,0.0,1.0,0.0
2017-01-12,2017,01,2,-8.0,740.5,0.0,2.0,0.0
2017-01-13,2017,01,2,-4.5,743.5,0.0,0.0,0.0
2017-01-14,2017,01,2,-1.0,744.5,0.0,0.0,0.0
2017-01-15,2017,01,2,-1.0,745.5,0.0,2.0,0.0
2017-01-16,2017,01,3,-0.5,754.0,0.0,1.0,0.0
2017-01-17,2017,01,3,-2.5,759.0,0.0,1.0,0.0
2017-01-18,2017,01,3,-4.5,760.5,0.0,0.0,0.0
2017-01-19,2017,01,3,-3.0,750.5,0.0,0.0,0.0
2017-01-20,2017,01,3,-2.5,746.0,0.0,0.0,0.0
2017-01-21,2017,01,3,-3.5,745.0,0.0,1.0,0.0
2017-01-22,2017,01,3,-2.0,746.5,0.0,2.0,0.0
2017-01-23,2017,01,4,0.5,744.0,0.0,0.0,0.0
2017-01-24,2017,01,4,-0.5,740.5,0.0,1.0,0.0
2017-01-25,2017,01,4,-13.0,756.5,0.0,0.0,0.0
2017-01-26,2017,01,4,-11.5,752.0,0.0,1.0,0.0
2017-01-27,2017,01,4,-2.0,751.0,0.0,0.0,0.0
2017-01-28,2017,01,4,-2.0,756.5,0.0,0.0,0.0
2017-01-29,2017,01,4,-6.5,761.0,0.0,0.0,0.0
2017-01-30,2017,01,5,-8.5,758.0,0.0,0.0,0.0
2017-01-31,2017,01,5,-7.5,752.5,0.0,0.0,0.0
2017-02-01,2017,02,5,-2.0,750.0,0.0,0.0,0.0
2017-02-02,2017,02,5,-10.0,756.0,0.0,0.0,0.0
2017-02-03,2017,02,5,-6.0,752.5,0.0,0.0,0.0
2017-02-04,2017,02,5,-10.0,748.0,0.0,1.0,0.0
2017-02-05,2017,02,5,-8.5,750.0,0.0,0.0,0.0
2017-02-06,2017,02,6,-15.0,760.0,0.0,0.0,0.0
2017-02-07,2017,02,6,-17.5,767.5,0.0,0.0,0.0
2017-02-08,2017,02,6,-12.0,766.0,0.0,2.0,0.0
2017-02-09,2017,02,6,-5.0,764.0,0.0,0.0,0.0
2017-02-10,2017,02,6,-2.5,763.5,0.0,0.0,0.0
2017-02-11,2017,02,6,-1.0,762.5,0.0,0.0,0.0
2017-02-12,2017,02,6,-5.5,761.0,0.0,2.0,0.0
2017-02-13,2017,02,7,-7.0,753.0,0.0,1.0,0.0
2017-02-14,2017,02,7,2.0,742.5,0.0,0.0,0.0
2017-02-15,2017,02,7,-3.0,756.5,0.0,0.0,0.0
2017-02-16,2017,02,7,-4.0,756.0,0.0,0.0,0.0
2017-02-17,2017,02,7,-1.5,743.5,0.0,0.0,0.0
2017-02-18,2017,02,7,2.0,742.5,0.0,0.0,0.0
2017-02-19,2017,02,7,1.5,741.5,0.0,1.0,0.0
2017-02-20,2017,02,8,3.0,735.5,1.0,0.0,0.0
2017-02-21,2017,02,8,1.5,725.0,2.0,0.0,0.0
2017-02-22,2017,02,8,-6.0,734.5,0.0,1.0,0.0
2017-02-23,2017,02,8,-1.0,727.0,0.0,1.0,0.0
2017-02-24,2017,02,8,2.5,725.0,1.0,1.0,0.0
2017-02-25,2017,02,8,-1.5,735.0,0.0,0.0,0.0
